audit_id,firm_id,sector,year,priority_score,current_audit_risk,firm_staffing_quality,past_inspections_fixes,market_importance,band,complexity,it_reliance,group_structure,estimate_heavy,red_flags
AU-0030,F01,Technology,2025,41,20,13,4,4,ask,Medium,Low,False,False,
AU-0031,F01,Technology,2025,39,17,14,5,3,ask,Medium,Low,False,False,
AU-0032,F01,Public interest entity,2025,78,38,22,12,6,deep-dive,High,Medium,True,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Multi-component group audit; Partner involvement hours below plan
AU-0033,F01,Energy & utilities,2025,50,12,27,10,1,group,Low,Low,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0034,F01,Listed manufacturing,2025,14,0,5,5,4,routine,Low,Medium,False,False,
AU-0035,F01,Energy & utilities,2025,45,12,25,5,3,ask,Low,Low,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0036,F01,Technology,2025,68,27,26,9,6,deep-dive,Medium,High,False,True,Complex accounting estimates; Goodwill or asset impairment risk; Heavy reliance on client IT systems; Audit team below planned staffing; Partner involvement hours below plan
AU-0037,F01,Insurance,2025,34,14,8,5,7,routine,Low,Medium,False,True,Goodwill or asset impairment risk
AU-0038,F01,Banking,2025,43,22,12,5,4,ask,Medium,Low,False,False,
AU-0039,F01,Insurance,2025,40,8,25,7,0,ask,Low,High,False,False,Heavy reliance on client IT systems; Audit team below planned staffing
AU-0040,F01,Listed manufacturing,2025,39,8,20,11,0,ask,Low,Medium,False,False,Partner involvement hours below plan; Repeat finding from a prior inspection
AU-0041,F01,Retail group,2025,47,24,14,5,4,ask,Medium,Medium,False,False,
AU-0042,F01,Real estate,2025,53,12,24,10,7,group,Low,High,False,False,Heavy reliance on client IT systems; Audit team below planned staffing
AU-0043,F01,Insurance,2025,38,6,23,6,3,ask,Low,Medium,False,False,Partner involvement hours below plan
AU-0044,F01,Insurance,2025,37,18,14,3,2,ask,Medium,High,False,False,Heavy reliance on client IT systems
AU-0045,F01,Technology,2025,29,16,12,0,1,routine,Low,Low,False,False,
AU-0046,F01,Public interest entity,2025,38,0,21,10,7,ask,Low,Low,True,False,Multi-component group audit; Partner involvement hours below plan
AU-0047,F01,Technology,2025,37,20,12,4,1,ask,Medium,Medium,False,True,Goodwill or asset impairment risk
AU-0048,F01,Energy & utilities,2025,34,7,10,10,7,routine,Low,Medium,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0049,F01,Healthcare,2025,29,9,14,4,2,routine,Low,Medium,False,False,
AU-0050,F01,Real estate,2025,38,13,15,4,6,ask,Low,Medium,False,False,
AU-0051,F01,Asset management,2025,27,10,10,7,0,routine,Low,Medium,False,False,Overdue remediation on this engagement
AU-0052,F01,Retail group,2025,36,7,23,5,1,ask,Low,Low,False,True,Goodwill or asset impairment risk; Partner involvement hours below plan
AU-0053,F01,Healthcare,2025,42,21,14,5,2,ask,Medium,High,False,False,Heavy reliance on client IT systems
AU-0054,F01,Healthcare,2025,33,9,15,5,4,routine,Low,Medium,False,True,Goodwill or asset impairment risk
AU-0055,F01,Listed manufacturing,2025,45,15,24,4,2,ask,Low,Medium,False,True,Goodwill or asset impairment risk; Audit team below planned staffing
AU-0056,F01,Public interest entity,2025,37,16,8,9,4,ask,Low,High,False,False,Heavy reliance on client IT systems; Repeat finding from a prior inspection
AU-0057,F01,Energy & utilities,2025,28,1,20,3,4,routine,Low,High,False,False,Heavy reliance on client IT systems; Partner involvement hours below plan
AU-0058,F01,Technology,2025,29,14,9,3,3,routine,Low,Low,False,False,
AU-0059,F01,Technology,2025,42,15,14,7,6,ask,Low,Low,False,False,Overdue remediation on this engagement
AU-0060,F01,Asset management,2025,33,7,14,6,6,routine,Low,High,False,False,Heavy reliance on client IT systems
AU-0061,F01,Public interest entity,2025,37,13,15,2,7,ask,Low,High,False,False,Heavy reliance on client IT systems
AU-0062,F01,Healthcare,2025,29,17,5,3,4,routine,Medium,Medium,False,False,
AU-0063,F01,Banking,2025,30,11,6,12,1,routine,Low,Medium,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0064,F01,Technology,2025,45,18,18,6,3,ask,Medium,Low,False,False,
AU-0065,F01,Public interest entity,2025,28,13,10,5,0,routine,Low,Low,True,True,Goodwill or asset impairment risk; Multi-component group audit
AU-0066,F01,Retail group,2025,56,27,19,5,5,group,Medium,High,True,True,Complex accounting estimates; Goodwill or asset impairment risk
AU-0067,F01,Energy & utilities,2025,40,13,16,6,5,ask,Low,Medium,False,False,
AU-0068,F01,Insurance,2025,28,13,12,1,2,routine,Low,Low,False,False,
AU-0069,F01,Asset management,2025,13,1,10,0,2,routine,Low,Low,False,False,
AU-0070,F01,Asset management,2025,33,10,8,9,6,routine,Low,High,False,True,Goodwill or asset impairment risk; Heavy reliance on client IT systems
AU-0071,F01,Real estate,2025,31,14,10,2,5,routine,Low,Medium,False,False,
AU-0072,F01,Energy & utilities,2025,50,25,23,1,1,group,Medium,Medium,False,False,Partner involvement hours below plan
AU-0073,F01,Retail group,2025,19,3,8,6,2,routine,Low,High,False,False,Heavy reliance on client IT systems
AU-0074,F01,Banking,2025,37,14,13,7,3,ask,Low,Medium,False,False,Overdue remediation on this engagement
AU-0075,F01,Energy & utilities,2025,29,8,15,2,4,routine,Low,Low,False,False,
AU-0076,F01,Real estate,2025,30,6,13,6,5,routine,Low,Low,False,False,
AU-0077,F01,Asset management,2025,27,9,10,5,3,routine,Low,Low,False,False,
AU-0078,F01,Energy & utilities,2025,38,8,20,0,10,ask,Low,Medium,False,False,Partner involvement hours below plan
AU-0079,F01,Retail group,2025,42,13,18,6,5,ask,Low,Medium,False,False,
AU-0080,F01,Energy & utilities,2025,27,13,11,1,2,routine,Low,Medium,False,False,
AU-0081,F01,Listed manufacturing,2025,45,14,18,9,4,ask,Low,Low,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0082,F01,Banking,2025,65,30,21,8,6,deep-dive,High,Medium,False,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Partner involvement hours below plan; Overdue remediation on this engagement
AU-0083,F01,Listed manufacturing,2025,48,13,25,6,4,ask,Low,Medium,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0084,F01,Asset management,2025,50,18,20,2,10,group,Medium,Low,False,False,Partner involvement hours below plan
AU-0085,F01,Asset management,2025,42,14,21,2,5,ask,Low,High,False,False,Heavy reliance on client IT systems; Partner involvement hours below plan
AU-0086,F01,Retail group,2025,62,27,20,9,6,group,Medium,Medium,False,True,Complex accounting estimates; Goodwill or asset impairment risk
AU-0087,F01,Energy & utilities,2025,75,31,27,11,6,deep-dive,High,High,True,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Heavy reliance on client IT systems; Multi-component group audit
AU-0088,F01,Retail group,2025,23,11,10,2,0,routine,Low,Medium,False,False,
AU-0089,F01,Energy & utilities,2025,26,6,18,1,1,routine,Low,High,True,True,Goodwill or asset impairment risk; Heavy reliance on client IT systems
AU-0090,F01,Energy & utilities,2025,25,4,10,8,3,routine,Low,Medium,False,False,Overdue remediation on this engagement
AU-0091,F01,Insurance,2025,31,6,15,6,4,routine,Low,Low,False,False,
AU-0092,F01,Asset management,2025,46,14,22,8,2,ask,Low,Low,False,False,Partner involvement hours below plan; Overdue remediation on this engagement
AU-0093,F01,Real estate,2025,46,23,17,1,5,ask,Medium,High,False,False,Heavy reliance on client IT systems
AU-0094,F01,Real estate,2025,42,20,14,3,5,ask,Medium,Low,False,False,
AU-0095,F01,Healthcare,2025,76,28,35,9,4,deep-dive,High,Medium,True,True,Complex accounting estimates; Goodwill or asset impairment risk; Multi-component group audit; Audit team below planned staffing; Partner involvement hours below plan
AU-0096,F01,Asset management,2025,43,20,8,11,4,ask,Medium,Medium,True,False,Multi-component group audit; Repeat finding from a prior inspection
AU-0097,F01,Real estate,2025,29,13,8,5,3,routine,Low,Medium,False,False,
AU-0098,F01,Insurance,2025,55,25,24,3,3,group,Medium,Low,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0099,F01,Energy & utilities,2025,57,15,24,11,7,group,Low,Medium,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0100,F01,Asset management,2025,32,8,15,9,0,routine,Low,Low,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0101,F01,Public interest entity,2025,25,1,14,7,3,routine,Low,Medium,False,False,Overdue remediation on this engagement
AU-0102,F01,Real estate,2025,32,13,15,4,0,routine,Low,Medium,False,False,
AU-0103,F01,Retail group,2025,26,8,14,1,3,routine,Low,Medium,False,False,
AU-0104,F01,Healthcare,2025,30,9,13,5,3,routine,Low,Medium,False,False,
AU-0105,F01,Technology,2025,45,24,14,4,3,ask,Medium,High,False,False,Heavy reliance on client IT systems
AU-0106,F02,Technology,2025,37,15,15,5,2,ask,Low,Medium,False,True,Goodwill or asset impairment risk
AU-0107,F02,Banking,2025,68,35,20,6,7,deep-dive,High,High,False,False,Significant judgement in revenue recognition; Complex accounting estimates; Heavy reliance on client IT systems; Partner involvement hours below plan
AU-0108,F02,Insurance,2025,29,10,13,4,2,routine,Low,Low,True,False,Multi-component group audit
AU-0109,F02,Listed manufacturing,2025,32,4,18,6,4,routine,Low,Medium,False,False,
AU-0110,F02,Retail group,2025,40,13,20,4,3,ask,Low,Low,False,False,Partner involvement hours below plan
AU-0111,F02,Real estate,2025,32,5,15,5,7,routine,Low,Medium,False,False,
AU-0112,F02,Healthcare,2025,44,20,11,7,6,ask,Medium,Low,False,False,Overdue remediation on this engagement
AU-0113,F02,Technology,2025,32,11,10,1,10,routine,Low,High,True,False,Heavy reliance on client IT systems; Multi-component group audit
AU-0114,F02,Banking,2025,20,0,8,3,9,routine,Low,Medium,False,False,
AU-0115,F02,Retail group,2025,40,21,11,8,0,ask,Medium,Medium,False,False,Overdue remediation on this engagement
AU-0116,F02,Banking,2025,22,8,10,3,1,routine,Low,Medium,False,False,
AU-0117,F02,Listed manufacturing,2025,34,11,20,1,2,routine,Low,Low,False,False,Partner involvement hours below plan
AU-0118,F02,Real estate,2025,80,32,33,10,5,deep-dive,High,Medium,True,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Multi-component group audit; Audit team below planned staffing
AU-0119,F02,Retail group,2025,42,18,14,9,1,ask,Medium,Medium,True,False,Multi-component group audit; Repeat finding from a prior inspection
AU-0120,F02,Banking,2025,44,19,9,13,3,ask,Medium,Medium,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0121,F02,Technology,2025,39,13,18,2,6,ask,Low,Low,False,False,
AU-0122,F02,Insurance,2025,49,16,17,11,5,ask,Low,Medium,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0123,F02,Real estate,2025,25,9,11,4,1,routine,Low,Low,True,True,Goodwill or asset impairment risk; Multi-component group audit
AU-0124,F02,Public interest entity,2025,71,32,28,5,6,deep-dive,High,Medium,False,False,Significant judgement in revenue recognition; Complex accounting estimates; Audit team below planned staffing; Partner involvement hours below plan
AU-0125,F02,Energy & utilities,2025,36,4,19,7,6,ask,Low,Low,False,False,Overdue remediation on this engagement
AU-0126,F02,Public interest entity,2025,41,19,16,0,6,ask,Medium,High,True,False,Heavy reliance on client IT systems; Multi-component group audit
AU-0127,F02,Insurance,2025,43,20,11,7,5,ask,Medium,High,False,False,Heavy reliance on client IT systems; Overdue remediation on this engagement
AU-0128,F02,Asset management,2025,26,9,9,4,4,routine,Low,Medium,False,True,Goodwill or asset impairment risk
AU-0129,F02,Asset management,2025,44,16,24,1,3,ask,Low,Medium,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0130,F02,Banking,2025,51,25,15,6,5,group,Medium,Low,False,False,
AU-0131,F02,Healthcare,2025,42,17,18,6,1,ask,Medium,Low,False,True,Goodwill or asset impairment risk
AU-0132,F02,Asset management,2025,22,3,14,0,5,routine,Low,Medium,True,False,Multi-component group audit
AU-0133,F02,Real estate,2025,49,23,17,7,2,ask,Medium,Medium,False,True,Goodwill or asset impairment risk; Overdue remediation on this engagement
AU-0134,F02,Listed manufacturing,2025,43,17,11,9,6,ask,Medium,Low,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0135,F02,Real estate,2025,38,17,17,2,2,ask,Medium,Low,False,False,
AU-0136,F02,Retail group,2025,30,7,15,5,3,routine,Low,Medium,False,False,
AU-0137,F02,Technology,2025,27,2,19,0,6,routine,Low,Low,False,False,
AU-0138,F02,Insurance,2025,38,10,11,9,8,ask,Low,Low,False,True,Goodwill or asset impairment risk; Repeat finding from a prior inspection
AU-0139,F02,Healthcare,2025,34,13,10,6,5,routine,Low,High,False,False,Heavy reliance on client IT systems
AU-0140,F02,Technology,2025,34,8,21,5,0,routine,Low,Medium,False,False,Partner involvement hours below plan
AU-0141,F02,Insurance,2025,51,19,19,7,6,group,Medium,High,False,False,Heavy reliance on client IT systems; Overdue remediation on this engagement
AU-0142,F02,Public interest entity,2025,29,14,8,7,0,routine,Low,High,False,False,Heavy reliance on client IT systems; Overdue remediation on this engagement
AU-0143,F02,Technology,2025,53,27,17,6,3,group,Medium,Low,False,False,Complex accounting estimates
AU-0144,F02,Insurance,2025,43,11,18,8,6,ask,Low,Low,False,False,Overdue remediation on this engagement
AU-0145,F02,Asset management,2025,33,13,12,3,5,routine,Low,Low,False,False,
AU-0146,F02,Healthcare,2025,27,3,9,8,7,routine,Low,Low,True,False,Multi-component group audit; Overdue remediation on this engagement
AU-0147,F02,Asset management,2025,33,7,15,4,7,routine,Low,Low,False,False,
AU-0148,F02,Retail group,2025,33,4,16,8,5,routine,Low,Medium,True,False,Multi-component group audit; Overdue remediation on this engagement
AU-0149,F02,Public interest entity,2025,31,14,7,5,5,routine,Low,Medium,False,True,Goodwill or asset impairment risk
AU-0150,F02,Banking,2025,29,11,9,8,1,routine,Low,Low,False,True,Goodwill or asset impairment risk; Overdue remediation on this engagement
AU-0151,F02,Healthcare,2025,37,11,16,4,6,ask,Low,Low,False,False,
AU-0152,F02,Insurance,2025,41,18,16,6,1,ask,Medium,High,False,True,Goodwill or asset impairment risk; Heavy reliance on client IT systems
AU-0153,F02,Listed manufacturing,2025,41,13,22,2,4,ask,Low,Low,False,False,Partner involvement hours below plan
AU-0154,F02,Listed manufacturing,2025,46,21,18,3,4,ask,Medium,Medium,False,False,
AU-0155,F02,Real estate,2025,44,13,18,6,7,ask,Low,Medium,False,True,Goodwill or asset impairment risk
AU-0156,F02,Technology,2025,25,5,16,1,3,routine,Low,High,False,False,Heavy reliance on client IT systems
AU-0157,F02,Banking,2025,40,19,10,6,5,ask,Medium,Low,False,False,
AU-0158,F02,Insurance,2025,69,29,27,7,6,deep-dive,High,Medium,True,False,Complex accounting estimates; Multi-component group audit; Audit team below planned staffing; Partner involvement hours below plan; Overdue remediation on this engagement
AU-0159,F02,Asset management,2025,25,8,11,1,5,routine,Low,Medium,False,False,
AU-0160,F02,Technology,2025,28,10,11,3,4,routine,Low,Low,True,False,Multi-component group audit
AU-0161,F02,Asset management,2025,39,16,15,4,4,ask,Low,Medium,False,False,
AU-0162,F02,Technology,2025,76,32,29,7,8,deep-dive,High,Medium,False,False,Significant judgement in revenue recognition; Complex accounting estimates; Audit team below planned staffing; Partner involvement hours below plan; Overdue remediation on this engagement
AU-0163,F02,Listed manufacturing,2025,38,15,16,4,3,ask,Low,Medium,False,False,
AU-0164,F02,Asset management,2025,75,27,31,10,7,deep-dive,Medium,High,False,True,Complex accounting estimates; Goodwill or asset impairment risk; Heavy reliance on client IT systems; Audit team below planned staffing; Partner involvement hours below plan
AU-0165,F02,Public interest entity,2025,29,12,13,1,3,routine,Low,Low,False,False,
AU-0166,F02,Real estate,2025,47,20,19,4,4,ask,Medium,Low,False,False,
AU-0167,F02,Public interest entity,2025,61,21,31,5,4,group,Medium,Medium,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0168,F02,Asset management,2025,42,18,16,5,3,ask,Medium,Low,False,False,
AU-0169,F02,Energy & utilities,2025,33,14,12,2,5,routine,Low,Medium,False,False,
AU-0170,F02,Retail group,2025,29,13,6,5,5,routine,Low,High,False,False,Heavy reliance on client IT systems
AU-0171,F02,Listed manufacturing,2025,39,3,24,8,4,ask,Low,Low,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0172,F02,Insurance,2025,35,17,7,6,5,ask,Medium,Medium,False,False,
AU-0173,F02,Healthcare,2025,66,29,21,9,7,deep-dive,High,Low,False,True,Complex accounting estimates; Goodwill or asset impairment risk; Partner involvement hours below plan; Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0174,F02,Technology,2025,53,24,21,8,0,group,Medium,High,False,False,Heavy reliance on client IT systems; Partner involvement hours below plan
AU-0175,F02,Listed manufacturing,2025,54,15,31,4,4,group,Low,High,False,False,Heavy reliance on client IT systems; Audit team below planned staffing
AU-0176,F02,Banking,2025,42,16,18,7,1,ask,Low,Low,False,False,Overdue remediation on this engagement
AU-0177,F02,Energy & utilities,2025,38,14,14,5,5,ask,Low,High,False,False,Heavy reliance on client IT systems
AU-0178,F02,Real estate,2025,43,13,18,5,7,ask,Low,Medium,True,False,Multi-component group audit
AU-0179,F02,Retail group,2025,33,12,14,3,4,routine,Low,Low,False,False,
AU-0180,F02,Public interest entity,2025,29,10,14,3,2,routine,Low,Low,False,False,
AU-0181,F02,Insurance,2025,26,7,13,1,5,routine,Low,High,False,True,Goodwill or asset impairment risk; Heavy reliance on client IT systems
AU-0182,F02,Public interest entity,2025,33,8,22,1,2,routine,Low,Medium,False,True,Goodwill or asset impairment risk; Partner involvement hours below plan
AU-0183,F02,Listed manufacturing,2025,37,8,21,7,1,ask,Low,High,False,False,Heavy reliance on client IT systems; Partner involvement hours below plan
AU-0184,F02,Energy & utilities,2025,48,23,18,3,4,ask,Medium,Low,False,True,Goodwill or asset impairment risk
AU-0185,F02,Banking,2025,21,0,14,3,4,routine,Low,Medium,False,False,
AU-0186,F02,Healthcare,2025,41,17,12,7,5,ask,Medium,High,False,False,Heavy reliance on client IT systems; Overdue remediation on this engagement
AU-0187,F02,Healthcare,2025,35,11,18,4,2,ask,Low,Medium,False,True,Goodwill or asset impairment risk
AU-0188,F02,Energy & utilities,2025,47,20,18,7,2,ask,Medium,Low,True,False,Multi-component group audit; Overdue remediation on this engagement
AU-0189,F02,Asset management,2025,70,24,28,10,8,deep-dive,Medium,Medium,False,False,Audit team below planned staffing; Partner involvement hours below plan; Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0190,F02,Listed manufacturing,2025,48,18,15,12,3,ask,Medium,Low,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0191,F02,Technology,2025,33,16,14,1,2,routine,Low,Low,True,False,Multi-component group audit
AU-0192,F02,Insurance,2025,39,4,24,7,4,ask,Low,Low,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0193,F02,Real estate,2025,26,6,12,2,6,routine,Low,Low,True,False,Multi-component group audit
AU-0194,F02,Real estate,2025,29,0,14,9,6,routine,Low,Medium,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0195,F02,Technology,2025,44,14,18,7,5,ask,Low,Medium,False,False,Overdue remediation on this engagement
AU-0196,F02,Listed manufacturing,2025,22,8,8,3,3,routine,Low,Low,False,False,
AU-0197,F02,Public interest entity,2025,35,15,9,6,5,ask,Low,Low,False,True,Goodwill or asset impairment risk
AU-0198,F02,Real estate,2025,66,26,24,10,6,deep-dive,Medium,High,True,True,Complex accounting estimates; Goodwill or asset impairment risk; Heavy reliance on client IT systems; Multi-component group audit; Audit team below planned staffing
AU-0199,F02,Public interest entity,2025,26,3,14,6,3,routine,Low,High,False,False,Heavy reliance on client IT systems
AU-0200,F02,Banking,2025,36,6,23,6,1,ask,Low,Low,False,False,Partner involvement hours below plan
AU-0201,F02,Public interest entity,2025,36,17,10,4,5,ask,Medium,High,False,False,Heavy reliance on client IT systems
AU-0202,F02,Public interest entity,2025,43,22,9,5,7,ask,Medium,Medium,False,False,
AU-0203,F02,Technology,2025,44,20,19,2,3,ask,Medium,Low,False,False,
AU-0204,F03,Energy & utilities,2025,35,13,18,1,3,ask,Low,Low,False,False,
AU-0205,F03,Real estate,2025,24,2,16,4,2,routine,Low,Low,True,False,Multi-component group audit
AU-0206,F03,Healthcare,2025,40,8,16,9,7,ask,Low,Low,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0207,F03,Insurance,2025,73,33,29,6,5,deep-dive,High,Medium,True,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Multi-component group audit; Audit team below planned staffing
AU-0208,F03,Asset management,2025,55,27,19,7,2,group,Medium,High,False,False,Complex accounting estimates; Heavy reliance on client IT systems
AU-0209,F03,Insurance,2025,76,30,23,13,10,deep-dive,High,Medium,False,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Partner involvement hours below plan; Repeat finding from a prior inspection
AU-0210,F03,Real estate,2025,44,20,13,7,4,ask,Medium,Low,True,False,Multi-component group audit; Overdue remediation on this engagement
AU-0211,F03,Banking,2025,40,13,16,6,5,ask,Low,Low,False,False,
AU-0212,F03,Energy & utilities,2025,38,7,19,6,6,ask,Low,Low,False,False,
AU-0213,F03,Public interest entity,2025,33,17,9,4,3,routine,Medium,Low,False,False,
AU-0214,F03,Technology,2025,76,36,23,9,8,deep-dive,High,Medium,True,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Multi-component group audit; Partner involvement hours below plan
AU-0215,F03,Healthcare,2025,40,15,9,9,7,ask,Low,Low,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0216,F03,Energy & utilities,2025,48,23,15,4,6,ask,Medium,High,False,False,Heavy reliance on client IT systems
AU-0217,F03,Banking,2025,36,12,15,4,5,ask,Low,Low,False,False,
AU-0218,F03,Real estate,2025,23,9,13,1,0,routine,Low,Medium,False,True,Goodwill or asset impairment risk
AU-0219,F03,Insurance,2025,40,17,21,1,1,ask,Medium,Low,False,True,Goodwill or asset impairment risk; Partner involvement hours below plan
AU-0220,F03,Real estate,2025,42,15,20,2,5,ask,Low,Low,False,False,Partner involvement hours below plan
AU-0221,F03,Public interest entity,2025,40,20,9,7,4,ask,Medium,Low,False,False,Overdue remediation on this engagement
AU-0222,F03,Energy & utilities,2025,32,2,24,1,5,routine,Low,Medium,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0223,F03,Energy & utilities,2025,35,10,13,5,7,ask,Low,Low,False,False,
AU-0224,F03,Energy & utilities,2025,24,10,8,2,4,routine,Low,Medium,False,False,
AU-0225,F03,Energy & utilities,2025,47,19,20,0,8,ask,Medium,High,False,False,Heavy reliance on client IT systems; Partner involvement hours below plan
AU-0226,F03,Public interest entity,2025,62,27,18,11,6,group,Medium,Medium,False,False,Complex accounting estimates; Repeat finding from a prior inspection
AU-0227,F03,Public interest entity,2025,43,12,21,5,5,ask,Low,Medium,False,True,Goodwill or asset impairment risk; Partner involvement hours below plan
AU-0228,F03,Public interest entity,2025,45,14,19,7,5,ask,Low,Medium,False,True,Goodwill or asset impairment risk; Overdue remediation on this engagement
AU-0229,F03,Energy & utilities,2025,33,16,15,1,1,routine,Low,Medium,False,False,
AU-0230,F03,Banking,2025,40,9,21,6,4,ask,Low,Medium,False,False,Partner involvement hours below plan
AU-0231,F03,Real estate,2025,38,16,13,6,3,ask,Low,High,False,False,Heavy reliance on client IT systems
AU-0232,F03,Technology,2025,50,17,23,7,3,group,Medium,Low,False,False,Partner involvement hours below plan; Overdue remediation on this engagement
AU-0233,F03,Retail group,2025,44,9,30,2,3,ask,Low,High,False,False,Heavy reliance on client IT systems; Audit team below planned staffing
AU-0234,F03,Energy & utilities,2025,31,15,11,4,1,routine,Low,Medium,True,False,Multi-component group audit
AU-0235,F03,Insurance,2025,32,4,12,8,8,routine,Low,High,False,False,Heavy reliance on client IT systems; Overdue remediation on this engagement
AU-0236,F03,Real estate,2025,39,11,16,8,4,ask,Low,High,True,False,Heavy reliance on client IT systems; Multi-component group audit
