firm_id,year,area,rating,high_risk_flag
F03,2025,Client acceptance,Deficient,True
F04,2023,Client acceptance,Effective,False
F04,2024,Client acceptance,Effective,False
F04,2025,Client acceptance,Effective,False
F05,2023,Client acceptance,Effective,False
F05,2024,Client acceptance,Effective,False
F05,2025,Client acceptance,Effective,False
F06,2023,Client acceptance,Effective,False
F06,2024,Client acceptance,Effective,False
F06,2025,Client acceptance,Needs improvement,False
F07,2023,Client acceptance,Effective,False
F07,2024,Client acceptance,Needs improvement,False
F07,2025,Client acceptance,Effective,False
F08,2023,Client acceptance,Effective,False
F08,2024,Client acceptance,Effective,False
F08,2025,Client acceptance,Effective,False
F09,2023,Client acceptance,Effective,False
F09,2024,Client acceptance,Effective,False
F09,2025,Client acceptance,Effective,False
F10,2023,Client acceptance,Effective,False
F10,2024,Client acceptance,Needs improvement,False
F10,2025,Client acceptance,Effective,False
F11,2023,Client acceptance,Needs improvement,False
F11,2024,Client acceptance,Needs improvement,True
F11,2025,Client acceptance,Effective,False
F12,2023,Client acceptance,Needs improvement,False
F12,2024,Client acceptance,Effective,False
F12,2025,Client acceptance,Effective,False
F01,2023,Leadership,Effective,False
F01,2024,Leadership,Effective,False
F01,2025,Leadership,Effective,False
F02,2023,Leadership,Effective,False
F02,2024,Leadership,Effective,False
F02,2025,Leadership,Effective,False
F03,2023,Leadership,Effective,False
F03,2024,Leadership,Effective,False
F03,2025,Leadership,Effective,False
F04,2023,Leadership,Needs improvement,False
F04,2024,Leadership,Effective,False
F04,2025,Leadership,Effective,False
F05,2023,Leadership,Effective,False
F05,2024,Leadership,Needs improvement,True
F05,2025,Leadership,Deficient,True
F06,2023,Leadership,Effective,False
F06,2024,Leadership,Needs improvement,False
F06,2025,Leadership,Effective,False
F07,2023,Leadership,Effective,False
F07,2024,Leadership,Effective,False
F07,2025,Leadership,Effective,False
F08,2023,Leadership,Effective,False
F08,2024,Leadership,Effective,False
F08,2025,Leadership,Effective,False
F09,2023,Leadership,Effective,False
F09,2024,Leadership,Effective,False
F09,2025,Leadership,Effective,False
F10,2023,Leadership,Needs improvement,False
F10,2024,Leadership,Effective,False
F10,2025,Leadership,Needs improvement,True
F11,2023,Leadership,Needs improvement,False
F11,2024,Leadership,Effective,False
F11,2025,Leadership,Effective,False
F12,2023,Leadership,Effective,False
F12,2024,Leadership,Effective,False
F12,2025,Leadership,Effective,False
F01,2023,Ethics,Effective,False
F01,2024,Ethics,Needs improvement,False
F01,2025,Ethics,Needs improvement,False
F02,2023,Ethics,Effective,False
F02,2024,Ethics,Effective,False
F02,2025,Ethics,Effective,False
F03,2023,Ethics,Needs improvement,False
F03,2024,Ethics,Effective,False
F03,2025,Ethics,Deficient,True
F04,2023,Ethics,Effective,False
F04,2024,Ethics,Effective,False
F04,2025,Ethics,Effective,False
F05,2023,Ethics,Effective,False
F05,2024,Ethics,Needs improvement,True
F05,2025,Ethics,Effective,False
F06,2023,Ethics,Effective,False
F06,2024,Ethics,Effective,False
F06,2025,Ethics,Effective,False
F07,2023,Ethics,Effective,False
F07,2024,Ethics,Effective,False
F07,2025,Ethics,Deficient,True
F08,2023,Ethics,Effective,False
F08,2024,Ethics,Effective,False
F08,2025,Ethics,Effective,False
F09,2023,Ethics,Effective,False
F09,2024,Ethics,Effective,False
F09,2025,Ethics,Effective,False
F10,2023,Ethics,Effective,False
F10,2024,Ethics,Effective,False
F10,2025,Ethics,Effective,False
F11,2023,Ethics,Needs improvement,False
F11,2024,Ethics,Effective,False
F11,2025,Ethics,Needs improvement,False
F12,2023,Ethics,Needs improvement,False
F12,2024,Ethics,Effective,False
F12,2025,Ethics,Needs improvement,False
